init_id,part_number,title,sbt_price,cost,has_stock,stock_eta,description,applications,sku
23-101-211,23-101-211,C3 Crankshaft Bearing for Sea-Doo 587,14.35,8.6,True,,New OE Replacement C3 Crankshaft Center Bearing for Sea-Doo 587.,1988-1996 SP 1991-1996 SPI 1993 SPX  1990-1991 GT 1992-1996 GTS 1992-1993 GTX 1991-1992 XP,
23-107-231,23-107-231,Counter Balance Shaft Bearing for Sea-Doo 787,11.95,7.15,True,,New OE Replacement Counter Shaft Bearing for Sea-Doo 787.,"1995 XP800 	 1996-1997 XP 1996-1998 GSX 1996-1997 GTX 	 1997-1999 SPX 1996-1998 Challenger 1997,1999 Challenger 1800	 1998-2002 GTX RFI 1999-2000 GSX RFI 2003-2005 GTI LE RFI 2004 GTI RFI 2004-2005 3D RFI",{2: 'SD0180'}
44-409,44-409,Cylinder Sleeve fits Yamaha GP1300R 2003-2004,108.95,65.35,True,,"Cast iron cylinder sleeve, must bore and hone to finished size.

","2003 Yamaha GP1300R Sleeve
2004 Yamaha GP1300R Sleeve
2005 Yamaha GP1300 NPV Sleeve
2006 Yamaha GP1300 NPV Sleeve
2007 Yamaha GP1300 NPV Sleeve
2008 Yamaha GP1300 NPV Sleeve",{3: 'SD0229'}
23-107-230,23-107-230,Counter Balance Shaft Bearing C3 for Sea-Doo 787,10.55,6.3,True,,New OE Replacement C3 Counter Balance Shaft Bearing for Sea-Doo 787.,"1995 XP800 	 1996-1997 XP 1996-1998 GSX 1996-1997 GTX 	 1997-1999 SPX 1996-1998 Challenger 1997,1999 Challenger 1800	 1998-2002 GTX RFI 1999-2000 GSX RFI 2003-2005 GTI LE RFI 2004 GTI RFI 2004-2005 3D RFI",{4: 'SD0233'}
78-406-01,78-406-01,Jet Pump Housing for Yamaha FX 140/Cruiser/ GP1200/ GP800/ GP1300R/ SUV/ XL1200/ XL800/ VXR/ VXS,236.4,141.8,True,,"New OE Replacement Yamaha Jet Pump Housing with replaceable Delrin Liner.

Fits 66V-51312-00-94
66V-51312-01-94
66V-51312-01-00","1999 SUV 1200  
1999 XL1200 LTD  

2000 GP 1200R  
2000 SUV 1200  
2000 XL 1200 LTD  
2000 XL 800  

2001 GP 1200  
2001 GP 800  
2001 SUV 1200  
2001 XL 1200  
2001 XL 800  

2002 FX 140  
2002 GP1200  
2002 GP800  
2002 SUV 1200  
2002 XLT 1200  
2002 XLT 800  
 
2003 FX CRUISER  
2003 FX140  
2003 GP1300R  
2003 GP800R  
2003 SUV1200  
2003 XLT1200  
2003 XLT800  
 
2004 FX140  
2004 FX CRUISER  
2004 FX CRUISER HO  
2004 FX HO  
2004 XLT1200  

2005 FX 140  
2005 FX 140 CRUISER  
2005 VX1100 DELUXE  
2005 VX1100 SPORT  
2005 FX CRUISER HO  
2005 FX HO  
2005 XLT1200  

2006 FX 140  
2006 FX CRSR HO ANNIV  
2006 FX 140 CRUISER  
2006 FX CRUISER HO  
2006 FX HO  
2006 VX110 DELUXE  
2006 VX110 SPORT  

2007 FX 140  
2007 FX CRUISER 140 
2007 FX CRUISER HO  
2007 FX HO  
2007 VX  
2007 VX CRUISER  
2007 VX DELUXE  
2007 VX SPORT  

2008 FX 140  
2008 FX 140 CRUISER  
2008 FX CRUISER HO  
2008 FX CRUISER SUPER HO  
2008 FX HO  
2008 FX SUPER HO  
2008 VX  
2008 VX CRUISER 
2008 VX DELUXE  
2008 VX SPORT  

2009 FX CRUISER HO  
2009 FX CRUISER SHO  
2009 FX HO  
2009 FX SHO  
2009 FZR  
2009 FZS  
2009 VX 
2009 VX CRUISER  
2009 VX DELUXE  
2009 VX SPORT  

2010 FX CRUISER HO  
2010 FX CRUISER SHO  
2010 FX HO 
2010 FX SHO  
2010 FZR  
2010 FZS  
2010 VX CRUISER  
2010 VX DELUXE  
2010 VX SPORT  

2011 FX Cruiser HO  
2011 FX Cruiser Super HO 
2011 FX SUPER HO  
2011 FX HO 
2011 FZR  
2011 FZS 
2011 VX CRUISER  
2011 VX DELUXE  
2011 VX SPORT  
2011 VXR  
2011 VXS  

2012 FX CRUISER HO  
2012 FX CRUISER SHO  
2012 FX HO  
2012 FZR  
2012 FZS  
2012 VX CRUISER  
2012 VX DELUXE  
2012 VX SPORT  
2012 VXR  
2012 VXS  

2013 FX CRUISER HO  
2013 FX CRUISER SHO  
2013 FX HO < br>
2013 FZS  
2013 FZS  
2013 VX CRUISER  
2013 VX DELUXE 
2013 VX SPORT  
2013 VXR  
2013 VXS  

2014 FX CRUISER SHO 
2014 FX CRUSIER HO  
2014 FX HO  
2014 FX SHO  
2014 VX CRUISER  
2014 VX DELUXE  
2014 VX SPORT  
2014 VXR  
2014 VXS  

2015 FX CRUISER HO  
2015 FX CRUSIER SHO  
2015 FX HO 
2015 FX SHO  
2015 V1  
2015 V1 SPORT  
2015 VX  
2015 VX CRUISER 
2015 VX DELUXE  
2015 VXR  
2015 VXS  

2016 FX CRUISER HO  
2016 FX CRUISER SHO 
2016 FX HO  
2016 V1  
2016 V1 SPORT  
2016 VX  
2016 VX CRUISER  
2016 VX CRUISER HO  
2016 VX DELUXE  
2016 VX LIMITED  
2016 VXR  
2016 VXS  

2017 FX CRUISER HO  
2017 FX HO  
2017 VX   
2017 VX CRUISER  
2017 VX CRUISER HO  
2017 VX DELUXE  
2017 VX LIMITED 
2017 VXR  

2018 FX CRUISER HO  
2018 FX HO  
2018 VX  
2018 VX CRUISER  
2018 VX CRUISER HO  
2018 VX DELUXE  
2018 VX LIMITED  
2018 VXR  

2019 FX CRUISER HO  
2019 FX HO  
2019 VX C  
2019 VXR  
2019 VX Cruiser HO
2019 VX Cruiser
2019 VX Deluxe
2019 VX
2019 VX Limited

Jet Boats


2000 XR 1800  

2001 XR 1800  

2003 SR230  

2004 GP1300R  
2004 GP800  
2004 AR230  
2004 SUV 1200  
2004 SX230 

2005 GP1300R  
2005 AR230  
2005 AR230 HO  
2005 GP800R  
2005 SR230  
2005 SX230  
2005 SX230 HO  

2006 AR210  
2006 AR230  
2006 AR230 HO  
2006 GP1300R  
2006 SR210 
2006 SX210  
2006 SX230  
2006 SX230 HO  

2007 AR210  
2007 AR230 HO  
2007 GP1300R   
2007 SR210  
2007 SR230 HO  
2007 SX210  
2007 SX230 HO  

2008 212SS  
2008 212X  
2008 232 LIMITED  
2008 AR210  
2008 GP1300R  
2008 SX210  
2008 SX230 HO  

2009 212 SS  
2009 212 X  
2009 232 LIMITED  
2009 232 LIMITED S  
2009 AR210  
2009 AR230 HO  
2009 SX230 HO  

2010 SX210 
2010 212 X  
2010 212S  
2010 212SS  
2010 242 LIMITED  
2010 242 LIMITED S  
2010 AR210  
2010 AR240 HO  
2010 SX240 HO  

2011 242 LIMITED  
2011 242 LIMITED S  
2011 AR210  
2011 SX 210  
2011 SX240 HO  
2011 SXT1800  

2012 212 SS  
2012 212 X  
2012 242 LIMITED  
2012 242 LIMITED S  
2012 AR 190  
2012 AR 210  
2012 AR 240 HO  
2012 SX 190  
2012 SX 210  
2012 SX 240 HO  

2013 212 SS  
2013 212 X  
2013 242 LIMITED  
2013 242 LIMITED S  
2013 AR190  
2013 AR210  
2013 AR240 HO  
2013 SX190  
2013 SX210  
2013 SX240 HO  

2014 SX190  
2014 212 SS  
2014 212 X  
2014 242 LIMITED  
2014 242 LIMITED S  
2014 AR190  
2014 AR192  
2014 AR210  
2014 AR240  
2014 AR240 HO  
2014 SX192  
2014 SX210 
2014 SX240 HO 

2015 212 X 
2015 212SS  
2015 242 LIMITED  
2015 242 LIMITED S  
2015 AR190  
2015 AR192  
2015 AR210  
2015 AR240 HO  
2015 SX190  
2015 SX192  
2015 SX210  
2015 SX240 HO  

2016 SX190  
2016 SX192  
2016 SX240 HO  
2016 190 FSH  
2016 190 FSH DELUXE  
2016 190 FSH SPORT  
2016 212 X  
2016 212SS 
2016 242 LIMITED  
2016 242 LIMITED S 
2016 242 X  
2016 AR190  
2016 AR192  
2016 AR240 HO  

2017 190 FSH  
2017 190 FSH DELUXE  
2017 190 FSH SPORT  
2017 212 LIMITED  
2017 212 LIMITED S  
2017 212 X  
2017 AR190  
2017 AR210  
2017 SX190  
2017 SX210

2018 SX190  
2018 SX210  
2018 SX240 HO  
2018 212 LIMITED  
2018 212 LIMITED S  
2018 212 X 
2018 242 LIMITED S  
2018 242 X  
2018 AR190  
2018 AR210  
2018 AR240 HO  ",{5: 'SD0266'}
48-501,48-501,Complete Gasket Kit for Tigershark 640 Barracuda /Daytona /Monte Carlo /Montego Deluxe /Montego,83.95,50.35,True,,"Kit Includes:
Carburetor Base Gasket - Qty 2
Carburetor Base Gasket - Qty 1
Flame Arrester Gasket - Qty 2
Carburetor Base Gasket - Qty 1
Intake Manifold Gasket - Qty 4
Exhaust Manifold Gasket - Qty 2
Exhaust Pipe Gasket - Qty 1
Flywheel Cover O'Ring - Qty 1
Water Outlet Gasket - Qty 1
Connector Pipe Gasket - Qty 1
Flame Arrester Gasket - Qty 1
Flame Arrester Gasket - Qty 1
Head Gasket - Qty 1
Base Gasket - Qty 1
Front Seal - Qty 1
Rear Inner Seal - Qty 1
Rear Outer Seal - Qty 1",1994 Tigershark Barracuda Complete Gasket Kit 1994 Tigershark Daytona Complete Gasket Kit 1994 Tigershark Monte Carlo Complete Gasket Kit 1994 Tigershark Montego Deluxe Complete Gasket Kit 1994 Tigershark Montego Complete Gasket Kit 1995 Tigershark Barracuda Complete Gasket Kit 1995 Tigershark Daytona Complete Gasket Kit 1995 Tigershark Monte Carlo Complete Gasket Kit 1995 Tigershark Montego Deluxe Complete Gasket Kit 1995 Tigershark Montego Complete Gasket Kit 1996 Tigershark Monte Carlo Complete Gasket Kit 1996 Tigershark Montego Deluxe Complete Gasket Kit 1996 Tigershark Montego Complete Gasket Kit 1997 Tigershark Monte Carlo Complete Gasket Kit 1997 Tigershark Montego Deluxe Complete Gasket Kit 1997 Tigershark Montego Complete Gasket Kit 1998 Tigershark TS 640 Complete Gasket Kit 1999 Tigershark TS 640 Complete Gasket Kit,{6: 'SD0275'}
48-600,48-600,Complete Gasket Kit for Honda F-12 /R-12 2002-2006,239.95,143.95,True,,"Kit Includes:
Starter O'Ring Buna - Qty 1
Exhaust Manifold Gasket - Qty 1
Exhaust Manifold #4 - Qty 1
O'Ring Intake #26 - Qty 8
Oval O'Ring - Qty 4
Oil Pump O'Ring - Qty 2
Front Cover Gasket - Qty 1
Oil Pan #14 Oil Pipe O'Ring - Qty 1
O'Ring Intake #25 (Viton) - Qty 4
Spark Plug Hole Seal - Qty 4
Oil Pan #18 Relief Valve Oring - Qty 2
Oil Pan #17 Drain O'Ring - Qty 1
Oil Tank #27 O'Ring - Qty 2
Intake #23 Fuel Rail O'Ring - Qty 4
Sealing Washer - Qty 2
Cam Pulsar Gasket - Qty 1
D-ring - Oil Pan #15/16 Pipe - Qty 1
Oil Tank Gasket - Qty 1
Pipe Gasket #5 - Qty 2
Pipe Gasket #8 - Qty 1
Coolant Pipe O'Ring - Qty 1
Head Gasket - Qty 1
Crankshaft Oil Seal - Qty 1
Valve Cover Gasket - Qty 1
Valve Cover Bolt Seal - Qty 6
Oil Pan Seal - Qty 1
Tensioner Gasket - Qty 1
Sealing Washer - Qty 1
Crankcase #17 O'Ring - Qty 4
Temp Sensor Washer - Qty 1
Crank Case O'Ring - Qty 1",2002 Honda F-12 Complete Engine Gasket Kit 2003 Honda F-12 Complete Engine Gasket Kit 2003 Honda R-12 Complete Engine Gasket Kit 2004 Honda F-12 Complete Engine Gasket Kit 2004 Honda R-12 Complete Engine Gasket Kit 2005 Honda F-12 Complete Engine Gasket Kit 2005 Honda R-12 Complete Engine Gasket Kit 2006 Honda F-12 Complete Engine Gasket Kit 2006 Honda R-12 Complete Engine Gasket Kit,{7: 'SD0300'}
41-111A,41-111A,Installation Gasket Kit for Sea-Doo 951 DI GTX DI /RX DI 2000,44.95,26.95,True,,"This kit is every gasket needed for installation of an SBT short block, following our installation guidelines. It includes (where used): flywheel cover, intake manifold, carb base/mounting plate, exhaust manifold, headpipe & cooling gaskets/o-rings.

",2000 Sea-Doo GTX DI Installation Gasket Kit 2000 Sea-Doo RX DI Installation Gasket Kit,{8: 'SD0310'}
78-401A-01,78-401A-01,Super Jet /VXR /Wave 6R7 51312 03 94 1990-2006,184.8,110.85,True,,New replacement OE Yamaha Jet Pump Housing 6R7-51312-03-94,"1990 SuperJet 650 
1990 Wave Jammer 500  
 
1991 SuperJet 650  
1991 Wave Runner 500   

1992 SuperJet 650  
1992 Wave Runner LX   

1993 SuperJet 650  
1993 VXR 650  
1993 Wave Blaster 700  
1993 Wave Runner 500  
1993 Wave Runner LX   

1994 VXRPRO 700 
1994 Wave Blaster 700  

1995 SuperJet 700  
1995 Wave Blaster 700  

1996 SuperJet 700 
1996 Wave Blaster 700   

1997 SuperJet 650 
1997 SuperJet 700   

1998 SuperJet 700   

1999 SuperJet 700   

2000 SuperJet 700   

2001 SuperJet 700  
2001 XL 700   

2002 SuperJet 700   

2003 SuperJet 700   

2004 SuperJet 700   

2006 SuperJet 700   

2007 SuperJet  

2009 SuperJet    

2010 SuperJet   

2011 SuperJet   

2012 SuperJet   

2013 SuperJet   

2016 SuperJet [SJ700BR]   

2017 SuperJet [SJ700BS]  

2018 Super Jet  

2019 Super Jet  

2020 Super Jet ",{9: 'SD0347'}
41-111B,41-111B,Installation Gasket Kit for Sea-Doo 951 DI GTX DI /RX DI /LRV DI /GTX DI /XP DI /Sport LE DI /3D DI,44.95,26.95,True,,"This kit is every gasket needed for installation of an SBT short block, following our installation guidelines. It includes (where used): flywheel cover, intake manifold, carb base/mounting plate, exhaust manifold, headpipe & cooling gaskets/o-rings.
br>",2001 Sea-Doo GTX DI Installation Gasket Kit 2001 Sea-Doo RX DI Installation Gasket Kit 2002 Sea-Doo GTX DI Installation Gasket Kit 2002 Sea-Doo LRV DI Installation Gasket Kit 2002 Sea-Doo RX DI Installation Gasket Kit 2003 Sea-Doo GTX DI Installation Gasket Kit 2003 Sea-Doo LRV DI Installation Gasket Kit 2003 Sea-Doo RX DI Installation Gasket Kit 2003 Sea-Doo XP DI Installation Gasket Kit 2004 Sea-Doo Sport LE DI 2004 Sea-Doo XP DI Installation Gasket Kit 2006 Sea-Doo 3D 947 DI,{10: 'SD0353'}
