init_id,part_number,title,sbt_price,cost,has_stock,stock_eta,description,applications,sku
15-200-07,15-200-07,Starter Solenoid for Kawasaki 750 ZXI /900 ZXI /1100 STX /1100 ZXI 27010-3737 1995-2003,76.85,46.1,True,,"Connectors vary, modifications may be necessary","  
1995 750 ZXi Kawasaki Starter Switch 1995 900 ZXi Kawasaki Starter Switch 1996 1100 ZXi Kawasaki Starter Switch 1996 750 ZXi Kawasaki Starter Switch 1996 900 ZXi Kawasaki Starter Switch 1997 1100 STX Kawasaki Starter Switch 1997 1100 ZXi Kawasaki Starter Switch 1997 750 ZXi Kawasaki Starter Switch 1997 900 STX Kawasaki Starter Switch  1997 900 ZXi Kawasaki Starter Switch 1998 1100 STX Kawasaki Starter Switch 1998 1100 ZXi Kawasaki Starter Switch 1998 900 STX Kawasaki Starter Switch 1999 1100 ZXi Kawasaki Starter Switch 2000 1100 ZXi Kawasaki Starter Switch 2001 1100 ZXi Kawasaki Starter Switch 2002 1100 ZXi Kawasaki Starter Switch 2003 1100 ZXi Kawasaki Starter Switch",{171: 'SD18911'}
15-200-09,15-200-09,Solenoid for Kawasaki 1100 DI 1200 12F 15F 27010-3777,59.85,35.9,True,,New OE Replacement Kawasaki Starter Solenoid.,		 2002	Kawasaki  1200 STX-R 	 2003	Kawasaki  1100 STX D.I. 	 2003	Kawasaki  1200 STX-R 	 2003	Kawasaki  STX-12F 	 2003	Kawasaki  Ultra 130 	 2004	Kawasaki  1200 STX-R 	 2004	Kawasaki  STX-12F 	 2004	Kawasaki  STX-15F 	 2004	Kawasaki  Ultra 130 	 2005	Kawasaki  1200 STX-R 	 2005	Kawasaki  STX-12F 	 2005	Kawasaki  STX-15F 	 2006	Kawasaki  STX-12F 	 2006	Kawasaki  STX-15F 	 2007	Kawasaki  STX-12F 	 2007	Kawasaki  STX-15F 	 2007	Kawasaki  Ultra 250X 	 2007	Kawasaki  Ultra LX 	 2008	Kawasaki  STX-15F 	 2008	Kawasaki  Ultra 250X 	 2008	Kawasaki  Ultra LX 	 2009	Kawasaki  STX 	 2009	Kawasaki  STX-15F 	 2009	Kawasaki  ULTRA 260LX	 2009	Kawasaki  ULTRA 260X 	 2009	Kawasaki  ULTRA LX 3-PASS 	 2010	Kawasaki  STX	 2010	Kawasaki  STX-15F 	 2010	Kawasaki  ULTRA 260 LX SUPERCHARGED 3- PASS 	 2010	Kawasaki  ULTRA 260X SUPERCHARGED 3-PASS	 2010	Kawasaki  ULTRA LX 3-PASS 	 2011	Kawasaki  STX-15F 	 2011	Kawasaki  ULTRA LX 3-PASS 	 2012	Kawasaki  STX-15F 	 2013	Kawasaki  STX-15F 	 2014	Kawasaki  STX-15F ,{172: 'SD78058'}
15-203C,15-203C,Regulator Rectifier for Kawasaki TS /SC /650 SX Regulator /Rectifier 21066-3708 1989-1996,120.7,72.4,True,,New Replacement OE Kawasaki Regulator/Rectifier,"  
 1989 Kawasaki TS Regulator/Rectifier 1990 Kawasaki TS Regulator/Rectifier 1991 Kawasaki SC Regulator/Rectifier 1991 Kawasaki TS Regulator/Rectifier 1992 Kawasaki 650 SX Regulator/Rectifier 1992 Kawasaki SC Regulator/Rectifier 1992 Kawasaki TS Regulator/Rectifier 1992 Kawasaki X2 Regulator/Rectifier 1993 Kawasaki 650 SX Regulator/Rectifier 1993 Kawasaki SC Regulator/Rectifier 1993 Kawasaki TS Regulator/Rectifier 1994 Kawasaki SC Regulator/Rectifier 1994 Kawasaki TS Regulator/Rectifier 1995 Kawasaki SC Regulator/Rectifier 1995 Kawasaki TS Regulator/Rectifier 1996 Kawasaki TS Regulator/Rectifier",{173: 'SD31847'}
15-207,15-207,Regulator /Rectifier for Kawasaki 750 ZXI /900 ZXI /1100 ZXI /1100 STX /900 STS /900 STX 21066-3712,120.7,72.4,True,,New Replacement OE Kawasaki Regulator/Rectifier,"  
1995 Kawasaki 750 ZXI Regulator/Rectifier 1995 Kawasaki 900 ZXI Regulator/Rectifier 1996 Kawasaki 1100 ZXI Regulator/Rectifier 1996 Kawasaki 750 ZXI Regulator/Rectifier 1996 Kawasaki 900 ZXI Regulator/Rectifier 1997 Kawasaki 1100 STX Regulator/Rectifier 1997 Kawasaki 1100 ZXI Regulator/Rectifier 1997 Kawasaki 750 ZXI Regulator/Rectifier 1997 Kawasaki 900 STX Regulator/Rectifier 1997 Kawasaki 900 ZXI Regulator/Rectifier 1998 Kawasaki 1100 STX Regulator/Rectifier 1998 Kawasaki 1100 ZXI Regulator/Rectifier 1998 Kawasaki 900 STX Regulator/Rectifier 1999 Kawasaki 1100 STX Regulator/Rectifier 1999 Kawasaki 1100 ZXI Regulator/Rectifier 1999 Kawasaki 900 STX Regulator/Rectifier 2000 Kawasaki 1100 ZXI Regulator/Rectifier 2000 Kawasaki 900 STX Regulator/Rectifier 2001 Kawasaki 1100 ZXI Regulator/Rectifier 2001 Kawasaki 900 STS Regulator/Rectifier 2001 Kawasaki 900 STX Regulator/Rectifier 2002 Kawasaki 1100 ZXI Regulator/Rectifier 2002 Kawasaki 900 STS Regulator/Rectifier 2002 Kawasaki 900 STX Regulator/Rectifier 2003 Kawasaki 1100 ZXI Regulator/Rectifier 2003 Kawasaki 900 STX Regulator/Rectifier 2004 Kawasaki 900 STX Regulator/Rectifier 2005 Kawasaki 900 STX Regulator/Rectifier 2006 Kawasaki 900 STX Regulator/Rectifier",{174: 'SD31846'}
15-211,15-211,Regulator /Rectifier for Kawasaki Ultra 150 21066-3715 1999-2005,96.2,57.7,True,,New Replacement OE Kawasaki Regulator/Rectifier,1999 Kawasaki Ultra 150 Regulator/Rectifier-See Description 2000 Kawasaki Ultra 150 Regulator/Rectifier-See Description 2001 Kawasaki Ultra 150 Regulator/Rectifier-See Description 2002 Kawasaki Ultra 150 Regulator/Rectifier-See Description 2003 Kawasaki Ultra 150 Regulator/Rectifier-See Description 2004 Kawasaki Ultra 150 Regulator/Rectifier-See Description 2005 Kawasaki Ultra 150 Regulator/Rectifier-See Description,{175: 'SD00188'}
15-211A,15-211A,Regulator /Rectifier for Kawasaki 1200 STX-R 21066-3716 2002-2005,96.2,57.7,True,,New Replacement OE Kawasaki Regulator/Rectifier,2002 Kawasaki 1200 STX-R Regulator/Rectifier-See Description 2003 Kawasaki 1200 STX-R Regulator/Rectifier-See Description 2004 Kawasaki 1200 STX-R Regulator/Rectifier-See Description 2005 Kawasaki 1200 STX-R Regulator/Rectifier-See Description,{176: 'SD31851'}
15-213A,15-213A,Regulator /Rectifier for Kawasaki STX 12-F 21066-3717 2003,96.2,57.7,True,,New Replacement OE Kawasaki Regulator/Rectifier,Kawasaki 2003 STX-12F Regulator/Rectifier,{177: 'SD31855'}
15-213B,15-213B,Regulator /Rectifier for Kawasaki STX 12-F/15-F /Ultra 250 X /Ultra LX /Ultra 260 X /LX,96.2,57.7,True,,New Replacement OE Kawasaki Regulator/Rectifier,"  
2004 Kawasaki STX-12F Regulator/Rectifier 2004 Kawasaki STX-15F Regulator/Rectifier 2005 Kawasaki STX-12F Regulator/Rectifier 2005 Kawasaki STX-15F Regulator/Rectifier 2006 Kawasaki STX-12F Regulator/Rectifier 2006 Kawasaki STX-15F Regulator/Rectifier 2007 Kawasaki STX-12F Regulator/Rectifier 2007 Kawasaki STX-15F Regulator/Rectifier 2007 Kawasaki Ultra 250X Regulator/Rectifier 2007 Kawasaki Ultra LX Regulator/Rectifier 2008 Kawasaki STX-15F Regulator/Rectifier 2008 Kawasaki Ultra 250X Regulator/Rectifier 2008 Kawasaki Ultra LX Regulator/Rectifier 2009 Kawasaki STX Regulator/Rectifier 2009 Kawasaki STX-15F Regulator/Rectifier 2009 Kawasaki ULTRA 260LX Regulator/Rectifier 2009 Kawasaki ULTRA 260X Regulator/Rectifier 2009 Kawasaki ULTRA LX 3-PASS Regulator/Rectifier 2010 Kawasaki STX Regulator/Rectifier 2010 Kawasaki STX-15F Regulator/Rectifier 2010 Kawasaki ULTRA 260 LX SUPERCHARGED 3- PASS Regulator/Rectifier 2010 Kawasaki ULTRA 260X SUPERCHARGED 3-PASS Regulator/Rectifier 2010 Kawasaki ULTRA LX 3-PASS Regulator/Rectifier 2011 Kawasaki STX-15F Regulator/Rectifier 2011 Kawasaki ULTRA 300LX Regulator/Rectifier 2011 Kawasaki ULTRA 300X Regulator/Rectifier 2011 Kawasaki ULTRA LX 3-PASS Regulator/Rectifier 2012 Kawasaki STX-15F Regulator/Rectifier 2012 Kawasaki ULTRA 300LX Regulator/Rectifier 2012 Kawasaki ULTRA 300X Regulator/Rectifier 2012 Kawasaki ULTRA LX Regulator/Rectifier 2013 Kawasaki STX-15F Regulator/Rectifier 2013 Kawasaki ULTRA 300LX Regulator/Rectifier 2013 Kawasaki ULTRA 300X Regulator/Rectifier 2013 Kawasaki ULTRA LX Regulator/Rectifier",{178: 'SD31857'}
15-213B,15-213B,Regulator /Rectifier for Kawasaki STX 12-F/15-F /Ultra 250 X /Ultra LX /Ultra 260 X /LX,96.2,57.7,True,,New Replacement OE Kawasaki Regulator/Rectifier,"  
2004 Kawasaki STX-12F Regulator/Rectifier 2004 Kawasaki STX-15F Regulator/Rectifier 2005 Kawasaki STX-12F Regulator/Rectifier 2005 Kawasaki STX-15F Regulator/Rectifier 2006 Kawasaki STX-12F Regulator/Rectifier 2006 Kawasaki STX-15F Regulator/Rectifier 2007 Kawasaki STX-12F Regulator/Rectifier 2007 Kawasaki STX-15F Regulator/Rectifier 2007 Kawasaki Ultra 250X Regulator/Rectifier 2007 Kawasaki Ultra LX Regulator/Rectifier 2008 Kawasaki STX-15F Regulator/Rectifier 2008 Kawasaki Ultra 250X Regulator/Rectifier 2008 Kawasaki Ultra LX Regulator/Rectifier 2009 Kawasaki STX Regulator/Rectifier 2009 Kawasaki STX-15F Regulator/Rectifier 2009 Kawasaki ULTRA 260LX Regulator/Rectifier 2009 Kawasaki ULTRA 260X Regulator/Rectifier 2009 Kawasaki ULTRA LX 3-PASS Regulator/Rectifier 2010 Kawasaki STX Regulator/Rectifier 2010 Kawasaki STX-15F Regulator/Rectifier 2010 Kawasaki ULTRA 260 LX SUPERCHARGED 3- PASS Regulator/Rectifier 2010 Kawasaki ULTRA 260X SUPERCHARGED 3-PASS Regulator/Rectifier 2010 Kawasaki ULTRA LX 3-PASS Regulator/Rectifier 2011 Kawasaki STX-15F Regulator/Rectifier 2011 Kawasaki ULTRA 300LX Regulator/Rectifier 2011 Kawasaki ULTRA 300X Regulator/Rectifier 2011 Kawasaki ULTRA LX 3-PASS Regulator/Rectifier 2012 Kawasaki STX-15F Regulator/Rectifier 2012 Kawasaki ULTRA 300LX Regulator/Rectifier 2012 Kawasaki ULTRA 300X Regulator/Rectifier 2012 Kawasaki ULTRA LX Regulator/Rectifier 2013 Kawasaki STX-15F Regulator/Rectifier 2013 Kawasaki ULTRA 300LX Regulator/Rectifier 2013 Kawasaki ULTRA 300X Regulator/Rectifier 2013 Kawasaki ULTRA LX Regulator/Rectifier",{179: 'SD31858'}
15-301,15-301,Regulator /Rectifier for Polaris Genesis /Pro 785 /SLH 4010302 1999-2001,96.2,57.7,True,,"New Replacement OE Polaris Regulator/Rectifier
4060115
4060171
4010302",1999 Polaris GENESIS Euro Regulator/Rectifier Assembly 1999 Polaris GENESIS Regulator/Rectifier Assembly 2000 Polaris PRO 785 2-Pass Euro Regulator/Rectifier Assembly 2000 Polaris PRO 785 2-Pass Regulator/Rectifier Assembly 2000 Polaris SLH 2-Pass Euro Regulator/Rectifier Assembly 2000 Polaris SLH 2-Pass Regulator/Rectifier Assembly 2001 Polaris SLH 2-Pass Euro Regulator/Rectifier Assembly 2001 Polaris SLH 2-Pass Regulator/Rectifier Assembly,{180: 'SD31853'}
